    Gen1_interval, Fraction_of_volume,     ISS1_interval, Fraction_of_volume,     ISS2_interval, Fraction_of_volume, 
   20.0000,  0.9216E+00,   20.0000,  0.1566E-01,   20.0000,  0.2075E-04,
   19.0000,  0.5946E-02,   19.0000,  0.1033E-02,   19.0000,  0.3136E-05,
   18.0000,  0.6654E-02,   18.0000,  0.1670E-02,   18.0000,  0.5198E-05,
   17.0000,  0.5784E-02,   17.0000,  0.1908E-02,   17.0000,  0.7954E-05,
   16.0000,  0.4550E-02,   16.0000,  0.1531E-02,   16.0000,  0.6380E-05,
   15.0000,  0.4540E-02,   15.0000,  0.1475E-02,   15.0000,  0.8614E-05,
   14.0000,  0.4406E-02,   14.0000,  0.1672E-02,   14.0000,  0.7846E-05,
   13.0000,  0.4162E-02,   13.0000,  0.1977E-02,   13.0000,  0.1394E-04,
   12.0000,  0.3850E-02,   12.0000,  0.3009E-02,   12.0000,  0.1614E-04,
   11.0000,  0.4237E-02,   11.0000,  0.3316E-02,   11.0000,  0.2930E-04,
   10.0000,  0.3537E-02,   10.0000,  0.3491E-02,   10.0000,  0.4868E-04,
    9.0000,  0.3024E-02,    9.0000,  0.3729E-02,    9.0000,  0.1334E-03,
    8.0000,  0.3759E-02,    8.0000,  0.3943E-02,    8.0000,  0.1518E-03,
    7.0000,  0.2986E-02,    7.0000,  0.5210E-02,    7.0000,  0.1976E-03,
    6.0000,  0.4644E-02,    6.0000,  0.7281E-02,    6.0000,  0.3587E-03,
    5.0000,  0.2739E-02,    5.0000,  0.9270E-02,    5.0000,  0.3163E-02,
    4.0000,  0.2291E-02,    4.0000,  0.1449E-01,    4.0000,  0.7859E-02,
    3.0000,  0.2548E-02,    3.0000,  0.2171E-01,    3.0000,  0.2008E-01,
    2.0000,  0.2234E-02,    2.0000,  0.3219E-01,    2.0000,  0.7405E-01,
    1.0000,  0.6048E-02,    1.0000,  0.8650E+00,    1.0000,  0.8934E+00,

 0,   0.9996E+00, 0,   0.9996E+00, 0,   0.9995E+00,

 0,   0.5920E+02, 0,   0.1666E+01, 0,   0.9349E+00,
